País,Continente,PIB 2023 (USD corrientes),Poblacion Total 2023
United States,North America,27720709000000.0,336806231.0
China,Asia,18270356654533.2,1410710000.0
Germany,Europe,4525703903627.53,83901923.0
Japan,Asia,4213167237905.83,124516650.0
India,Asia,3638489096033.86,1438069596.0
United Kingdom,Europe,3369861888972.88,68492000.0
France,Europe,3051831611384.76,68287487.0
Italy,Europe,2304605139862.79,58993475.0
Brazil,South America,2191131765684.63,211140729.0
Canada,North America,2173339670064.33,40083484.0
Russian Federation,Europe,2071505725030.58,143826130.0
Mexico,North America,1793798859343.27,129739759.0
Australia,Oceania,1728057316695.61,26652777.0
"Korea, Rep.",Asia,1712792854202.37,51712619.0
Spain,Europe,1620090734956.89,48347910.0
Indonesia,Asia,1371169301563.62,281190067.0
Saudi Arabia,Asia,1218584533333.33,33702731.0
Netherlands,Europe,1154361305398.06,17877117.0
Switzerland,Europe,894424821645.205,8888093.0
Poland,Europe,812451128978.58,36687353.0
Argentina,South America,646075277525.125,45538401.0
Belgium,Europe,644655275111.58,11787423.0
Sweden,Europe,585489968189.064,10536632.0
Ireland,Europe,551394889339.778,5307600.0
Thailand,Asia,515906283940.933,71702435.0
United Arab Emirates,Asia,514130432648.06,10483751.0
Israel,Asia,512184638998.974,9849000.0
Austria,Europe,511685203845.001,9131761.0
Singapore,Asia,505439514078.019,5917648.0
Norway,Europe,482949731776.587,5519594.0
Bangladesh,Asia,437415333018.291,171466990.0
Philippines,Asia,437055627244.424,114891199.0
Viet Nam,Asia,433857681378.291,100352192.0
Denmark,Europe,407091920305.404,5946952.0
"Iran, Islamic Rep.",Asia,404625655076.275,90608707.0
Malaysia,Asia,399705137434.074,35126298.0
"Egypt, Arab Rep.",Africa,395926075163.006,114535772.0
South Africa,Africa,380699271816.395,63212384.0
Colombia,South America,366291836137.916,52321152.0
Nigeria,Africa,363846332834.618,227882945.0
Romania,Europe,350775856415.189,19059479.0
Czechia,Europe,343206568134.637,10864042.0
Pakistan,Asia,337885531778.052,247504495.0
Chile,South America,335518054097.637,19658835.0
Finland,Europe,294950618733.339,5583911.0
Portugal,Europe,289696962620.235,10578174.0
Iraq,Asia,268881051643.549,45074049.0
Peru,South America,266958720837.988,33845617.0
Kazakhstan,Asia,261840101059.923,20330104.0
New Zealand,Oceania,255194972673.122,5245000.0
Algeria,Africa,247626161016.414,46164219.0
Greece,Europe,243498333237.802,10405588.0
Hungary,Europe,214022571311.24,9592186.0
Qatar,Asia,213002809340.659,2656032.0
Ukraine,Europe,181221517868.744,37732836.0
Kuwait,Asia,165384407267.056,4853420.0
Morocco,Africa,144417103249.646,37712505.0
Slovak Republic,Europe,133896931490.224,5426740.0
Ecuador,South America,121147057000.0,17980083.0
Dominican Republic,North America,120456239153.739,11331265.0
Kenya,Africa,108038588970.595,55339003.0
Oman,Asia,105895708712.614,5049269.0
Guatemala,North America,104368413483.146,18124838.0
Uzbekistan,Asia,102641879248.764,35652307.0
Bulgaria,Europe,102396840296.147,6446596.0
Luxembourg,Europe,87574021091.7525,666430.0
Costa Rica,North America,86497941438.9809,5105525.0
Angola,Africa,84875162197.0107,36749906.0
Croatia,Europe,84393795502.4421,3859686.0
Sri Lanka,Asia,83716142582.1945,22037000.0
Panama,North America,83318176900.0,4458759.0
Serbia,Europe,81342660752.3732,6623183.0
Ghana,Africa,80547146878.3843,33787914.0
Lithuania,Europe,79789877416.1681,2871585.0
Tanzania,Africa,79062403836.8432,66617606.0
Uruguay,South America,77991666837.7382,3388081.0
Belarus,Europe,72478760370.4258,9178298.0
Azerbaijan,Asia,72428470588.2353,10153958.0
Slovenia,Europe,69148468417.3208,2120461.0
"Congo, Dem. Rep.",Africa,67006756666.3604,105789731.0
Myanmar,Asia,66757619000.0,54133798.0
Turkmenistan,Asia,60628857142.8571,7364438.0
Jordan,Asia,51088476338.0282,11439213.0
Cameroon,Africa,49279410982.826,28372687.0
Uganda,Africa,48768955859.2834,48656601.0
Tunisia,Africa,48196281783.9479,12200431.0
Bahrain,Asia,46192260638.2979,1577059.0
Bolivia,South America,45135398002.8944,12244159.0
Libya,Africa,45096462972.4014,7305659.0
Paraguay,South America,43118053174.5413,6844146.0
Latvia,Europe,42572151720.138,1877445.0
Cambodia,Asia,42335646895.7984,17423880.0
Estonia,Europe,41291245222.1948,1370286.0
Nepal,Asia,41047772331.0994,29694614.0
Sudan,Africa,39898289820.7951,50042791.0
Zimbabwe,Africa,35231369343.4002,16340822.0
Honduras,North America,34355805527.9795,10644851.0
Cyprus,Asia,33886930712.3394,1344976.0
El Salvador,North America,33853940000.0,6309624.0
Iceland,Europe,31452223861.9091,393349.0
Papua New Guinea,Oceania,30816367066.9594,10389635.0
Georgia,Asia,30777833600.6515,3715483.0
Senegal,Africa,30696331295.7826,18077573.0
Bosnia and Herzegovina,Europe,27592361387.8597,3185073.0
Zambia,Africa,27577956471.244,20723965.0
Trinidad and Tobago,North America,25489373405.0619,1367510.0
Mali,Africa,24621545564.8753,23769127.0
Armenia,Asia,24085749592.3359,2964300.0
Albania,Europe,23547180412.3404,2745972.0
Guinea,Africa,22407615556.0571,14405468.0
Malta,Europe,22210718401.0207,552747.0
Mozambique,Africa,20954220983.5473,33635160.0
Mongolia,Asia,20325121393.9074,3481145.0
Burkina Faso,Africa,20324617844.5265,23025776.0
Lebanon,Asia,20078620356.9931,5773493.0
Gabon,Africa,20055720403.471,2484789.0
Syrian Arab Republic,Asia,19993439949.5435,23594623.0
Haiti,North America,19850585722.3241,11637398.0
Benin,Africa,19673290995.8491,14111034.0
Jamaica,North America,19423355367.2372,2839786.0
Botswana,Africa,19411266967.1044,2480244.0
Chad,Africa,19107685020.89,19319064.0
West Bank and Gaza,Asia,17847900000.0,5165775.0
Nicaragua,North America,17805842283.8725,6823613.0
Afghanistan,Asia,17152234636.8715,41454761.0
Guyana,South America,16918503597.1223,826353.0
Moldova,Europe,16711906746.2133,2457783.0
Niger,Africa,16698786973.0228,26159867.0
Madagascar,Africa,15869945477.855,31195932.0
Lao PDR,Asia,15843155731.2552,7664993.0
North Macedonia,Europe,15763604287.9867,1827816.0
"Congo, Rep.",Africa,15321055818.3263,6182885.0
"Bahamas, The",North America,15271300000.0,399440.0
Kyrgyz Republic,Asia,15180842369.4894,7099750.0
Brunei Darussalam,Asia,15095084686.1651,458949.0
Rwanda,Africa,14331722700.3249,13954471.0
Mauritius,Africa,14101195732.6741,1261041.0
Malawi,Africa,12712150082.0792,21104482.0
Namibia,Africa,12408271447.8691,2963095.0
Equatorial Guinea,Africa,12337550583.754,1847549.0
Tajikistan,Asia,12244169292.7998,10389799.0
Mauritania,Africa,10651709314.1644,5022441.0
Monaco,Europe,9995350547.12166,38956.0
Togo,Africa,9171261837.57103,9304337.0
Liechtenstein,Europe,8287748667.20832,39850.0
Montenegro,Europe,7530593375.22034,623529.0
Barbados,North America,6720733200.0,282336.0
Maldives,Asia,6590894301.9579,525994.0
Sierra Leone,Africa,6411787856.06581,8460512.0
Fiji,Oceania,5442046552.96928,924145.0
Eswatini,Africa,4604172127.36299,1230506.0
Liberia,Africa,4390000000.0,5493031.0
Djibouti,Africa,3917150480.80981,1152944.0
Andorra,Europe,3785067331.7625,80856.0
Suriname,South America,3455146280.83975,628886.0
Belize,North America,3066850000.0,411106.0
Bhutan,Asia,3019253885.46989,786385.0
Burundi,Africa,2629391599.50157,13689450.0
Central African Republic,Africa,2555492085.94725,5152421.0
Cabo Verde,Africa,2539203428.73837,522331.0
St. Lucia,North America,2430166666.66667,179285.0
"Gambia, The",Africa,2396111020.8801,2697845.0
Seychelles,Africa,2187379754.66167,119773.0
Lesotho,Africa,2117962430.3041,2311472.0
Timor-Leste,Asia,2079916909.49485,1384286.0
Guinea-Bissau,Africa,2077816134.67419,2153339.0
Antigua and Barbuda,North America,2005785185.18518,93316.0
Solomon Islands,Oceania,1660896530.71894,800005.0
Comoros,Africa,1430523435.81695,850387.0
Grenada,North America,1323985600.0,117081.0
Vanuatu,Oceania,1126313359.21923,320409.0
St. Vincent and the Grenadines,North America,1072237037.03704,101323.0
St. Kitts and Nevis,North America,1056751851.85185,46758.0
Samoa,Oceania,938189443.830393,216663.0
Dominica,North America,659311111.111111,66510.0
Tonga,Oceania,508735107.033734,104597.0
"Micronesia, Fed. Sts.",Oceania,443916782.295594,112630.0
Kiribati,Oceania,288610732.190775,132530.0
Palau,Oceania,281849100.0,17727.0
Marshall Islands,Oceania,259300000.0,38827.0
