id,title,original_title,overview,release_date,popularity,vote_average,vote_count,original_language,adult,poster_path,backdrop_path,genre_ids
278,The Shawshank Redemption,The Shawshank Redemption,"Imprisoned in the 1940s for the double murder of his wife and her lover, upstanding banker Andy Dufresne begins a new life at the Shawshank prison, where he puts his accounting skills to work for an amoral warden. During his long stretch in prison, Dufresne comes to be admired by the other inmates -- including an older prisoner named Red -- for his integrity and unquenchable sense of hope.",1994-09-23,31.0706,8.711,29110,en,False,/9cqNxx0GxF0bflZmeSMuL5tnGzr.jpg,/v8xVDqt8uCul3c3mgx4VpGCwxJC.jpg,"18,80"
238,The Godfather,The Godfather,"Spanning the years 1945 to 1955, a chronicle of the fictional Italian-American Corleone crime family. When organized crime family patriarch, Vito Corleone barely survives an attempt on his life, his youngest son, Michael steps in to take care of the would-be killers, launching a campaign of bloody revenge.",1972-03-14,31.3953,8.7,21993,en,False,/3bhkrj58Vtu7enYsRolD1fZdja1.jpg,/jdHsptJbtalEuVhCV5i7kSC3g0x.jpg,"18,80"
240,The Godfather Part II,The Godfather Part II,"In the continuing saga of the Corleone crime family, a young Vito Corleone grows up in Sicily and in 1910s New York. In the 1950s, Michael Corleone attempts to expand the family business into Las Vegas, Hollywood and Cuba.",1974-12-20,18.744,8.571,13291,en,False,/hek3koDUyRQk7FIhPXsa6mT2Zc3.jpg,/kGzFbGhp99zva6oZODW5atUtnqi.jpg,"18,80"
424,Schindler's List,Schindler's List,The true story of how businessman Oskar Schindler saved over a thousand Jewish lives from the Nazis while they worked as slaves in his factory during World War II.,1993-12-15,16.1913,8.566,16812,en,False,/sF1U4EUQS8YHUYjNl3pMGNIQyr0.jpg,/zb6fM1CX41D9rF9hdgclu0peUmy.jpg,"18,36,10752"
389,12 Angry Men,12 Angry Men,"The defense and the prosecution have rested and the jury is filing into the jury room to decide if a young Spanish-American is guilty or innocent of murdering his father. What begins as an open and shut case soon becomes a mini-drama of each of the jurors' prejudices and preconceptions about the trial, the accused, and each other.",1957-04-10,11.1732,8.547,9486,en,False,/ow3wq89wM8qd5X7hWKxiRfsFf9C.jpg,/tj6iPnz18hGfr0LKqWmG6Cp3niO.jpg,18
129,Spirited Away,千と千尋の神隠し,"A young girl, Chihiro, becomes trapped in a strange new world of spirits. When her parents undergo a mysterious transformation, she must call upon the courage she never knew she had to free her family.",2001-07-20,22.3564,8.534,17588,ja,False,/39wmItIWsg5sZMyRUHLkWBcuVCM.jpg,/ukfI9QkU1aIhOhKXYWE9n3z1mFR.jpg,"16,10751,14"
155,The Dark Knight,The Dark Knight,"Batman raises the stakes in his war on crime. With the help of Lt. Jim Gordon and District Attorney Harvey Dent, Batman sets out to dismantle the remaining criminal organizations that plague the streets. The partnership proves to be effective, but they soon find themselves prey to a reign of chaos unleashed by a rising criminal mastermind known to the terrified citizens of Gotham as the Joker.",2008-07-16,39.0204,8.524,34613,en,False,/qJ2tW6WMUDux911r6m7haRef0WH.jpg,/6SfX1p5G4EEEDnEulFJeSxgbtSV.jpg,"18,28,80,53"
19404,Dilwale Dulhania Le Jayenge,दिलवाले दुल्हनिया ले जायेंगे,"Raj is a rich, carefree, happy-go-lucky second generation NRI. Simran is the daughter of Chaudhary Baldev Singh, who in spite of being an NRI is very strict about adherence to Indian values. Simran has left for India to be married to her childhood fiancé. Raj leaves for India with a mission at his hands, to claim his lady love under the noses of her whole family. Thus begins a saga.",1995-10-20,10.1993,8.514,4514,hi,False,/2CAL2433ZeIihfX1Hb2139CX0pW.jpg,/zQDFHYNVVVp9OAYSixYAG1SyX1l.jpg,"35,18,10749"
497,The Green Mile,The Green Mile,"A supernatural tale set on death row in a Southern prison, where gentle giant John Coffey possesses the mysterious power to heal people's ailments. When the cell block's head guard, Paul Edgecomb, recognizes Coffey's miraculous gift, he tries desperately to help stave off the condemned man's execution.",1999-12-10,18.0292,8.503,18489,en,False,/o0lO84GI7qrG6XFvtsPOSV7CTNa.jpg,/b6HWTOxn1xevvyHU2K9ICvaRU6g.jpg,"14,18,80"
496243,Parasite,기생충,"All unemployed, Ki-taek's family takes peculiar interest in the wealthy and glamorous Parks for their livelihood until they get entangled in an unexpected incident.",2019-05-30,24.0927,8.496,19640,ko,False,/7IiTTgloJzvGI1TAYymCfbfl3vT.jpg,/hiKmpZMGZsrkA3cdce8a7Dpos1j.jpg,"35,53,18"
